Entidad Federativa,Unidades económicas,Precipitación media histórica (mm),Abastecimiento diario de agua,PorcentajeSequia,Normal,Moderada,severa,extrema,excepcional
Aguascalientes,61645,480,300040,100,25.1,54,20.9,0,0
Baja California,125975,196,868940,99.7,0,6.4,77.2,16.1,0
Baja California Sur,35745,182,87106,84.7,33.2,33.7,15.3,2.5,0
Campeche,41612,1209,161795,4.1,4.1,0,0,0,0
Coahuila de Zaragoza,114465,338,574704,100,3.3,25.2,35.5,27.8,8.2
Colima,38511,1001,175051,31.1,31.1,0,0,0,0
Chiapas,218824,1988,429082,18.1,18.1,0,0,0,0
Chihuahua,128139,434,1002277,90,13,28.4,25.2,18.7,4.7
Ciudad de México,474306,708,1923779,29,29,0,0,0,0
Durango,66735,497,380314,78,35.1,22.4,20.5,0,0
Guanajuato,272543,621,1187774,97.2,5.3,48.7,43.2,0,0
Guerrero,169783,1116,195769,17.5,17.5,0,0,0,0
Hidalgo,139255,782,347674,85.7,40.2,28.4,17.1,0,0
Jalisco,378068,838,1712082,42.3,28.7,13,0.6,0,0
Estado de México,700406,865,2366748,64.7,54.3,4.6,5.8,0,0
Michoacán de Ocampo,260135,819,493042,55.6,46.5,8.5,0.6,0,0
Morelos,111439,981,183604,79.2,61.2,18,0,0,0
Nayarit,66152,1107,171139,11.4,11.4,0,0,0,0
Nuevo León,186092,609,1256586,100,38.4,45.2,16.4,0,0
Oaxaca,250850,1473,358596,35.1,22.7,12.4,0,0,0
Puebla,343579,1272,471226,70.8,52.1,18.7,0,0,0
Querétaro,94384,568,417527,100,15.8,14.7,69.5,0,0
Quintana Roo,66285,1281,400747,34.6,34.6,0,0,0,0
San Luis Potosí,113395,926,403736,98.5,11,58.3,29.2,0,0
Sinaloa,123601,771,705055,81,52.1,19.7,9.2,0,0
Sonora,118945,430,759226,95.4,12.3,38,32.6,12.5,0
Tabasco,85967,2385,446795,11.5,11.5,0,0,0,0
Tamaulipas,132941,772,910208,95.5,25.8,49.2,20.5,0,0
Tlaxcala,82492,711,152850,100,71.5,28.5,0,0,0
Veracruz de Ignacio de la Llave,326721,1507,1691626,10.6,10.6,0,0,0,0
Yucatán,130388,1087,509479,19.7,19.7,0,0,0,0
Zacatecas,69320,515,198903,97.1,60.4,9.1,9.1,0,0
